year,spacex_launches,global_launches
2050,1362,1464
2051,1475,1578
2052,1595,1699
2053,1723,1827
2054,1859,1962
2055,2003,2106
2056,2155,2256
2057,2315,2414
2058,2484,2580
2059,2661,2752
2060,2845,2932
2061,3037,3119
2062,3237,3311
2063,3442,3510
2064,3654,3714
2065,3871,3922
2066,4093,4135
2067,4319,4351
2068,4547,4569
2069,4777,4790
2070,5009,5011
2071,5240,5232
2072,5471,5452
2073,5699,5670
2074,5925,5886
2075,6146,6099
2076,6364,6307
2077,6575,6511
2078,6781,6710
2079,6980,6903
2080,7172,7089
2081,7357,7269
2082,7534,7441
2083,7702,7607
2084,7863,7765
2085,8015,7916
2086,8159,8059
2087,8295,8194
2088,8423,8323
2089,8543,8443
2090,8656,8557
2091,8761,8664
2092,8859,8765
2093,8950,8858
2094,9035,8946
2095,9114,9028
2096,9188,9104
2097,9255,9175
2098,9318,9241
2099,9376,9302
2100,9429,9359
2101,9478,9412
2102,9524,9460
2103,9565,9505
2104,9604,9547
2105,9639,9585
2106,9671,9621
2107,9701,9653
2108,9728,9683
2109,9753,9711
2110,9776,9737
2111,9797,9760
2112,9816,9782
2113,9833,9801
2114,9850,9820
2115,9864,9836
2116,9878,9852
2117,9890,9866
2118,9901,9879
2119,9911,9891
2120,9921,9902
2121,9929,9912
2122,9937,9921
2123,9944,9929
2124,9951,9937
2125,9956,9944
2126,9962,9951
2127,9967,9957
2128,9971,9962
2129,9975,9967
2130,9979,9972
2131,9983,9976
2132,9986,9980
2133,9989,9983
2134,9991,9987
2135,9994,9989
2136,9996,9992
2137,9998,9995
2138,10000,9997
2139,10001,9999
2140,10003,10001
2141,10004,10003
2142,10005,10004
2143,10006,10006
2144,10007,10007
2145,10008,10008
2146,10009,10009
2147,10010,10010
2148,10011,10011
2149,10011,10012
2150,10012,10013
